state,puma_description,msa_description,state_puma,state_msa
fl,,,FL-00702,FL-37460
fl,,,FL-00702,FL-45220
fl,,,FL-00800,FL-23540
fl,,,FL-00800,FL-36100
fl,,,FL-00800,FL-46660
fl,,,FL-00900,FL-23540
fl,,,FL-00900,FL-27260
fl,Brevard County (NW)-Titusville/Rockledge+Cocoa Cities PUMA,Palm Bay-Melbourne-Titusville/FL,FL-00901,FL-37340
fl,Brevard County (E)-Beaches+Merritt Island PUMA,Palm Bay-Melbourne-Titusville/FL,FL-00902,FL-37340
fl,Brevard County (SW)-Melbourne+W Melbourne Cities PUMA,Palm Bay-Melbourne-Titusville/FL,FL-00903,FL-37340
fl,Brevard County (SE)-Palm Bay City/Grant-Valkaria+Malabar Towns PUMA,Palm Bay-Melbourne-Titusville/FL,FL-00904,FL-37340
fl,,,FL-01001,FL-23540
fl,,,FL-01002,FL-23540
fl,,,FL-01002,FL-36100
fl,,,FL-01002,FL-27260
fl,Broward County (W)-Coral Springs+Parkland Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01101,FL-33100
fl,Broward County (N Central)-Margate+Coconut Creek Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01102,FL-33100
fl,Broward County-Deerfield/Pompano Beach (N)+Lighthouse Point Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01103,FL-33100
fl,Broward County-Pompano Beach (S)+Fort Lauderdale (NE) Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01104,FL-33100
fl,Broward County (Central)-Tamarac/Oakland Park+N Lauderdale Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01105,FL-33100
fl,Broward County (Central)-Plantation+Sunrise Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01106,FL-33100
fl,Broward County (Central)-Lauderhill+Lauderdale Lakes Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01107,FL-33100
fl,Broward County (E Central)-Fort Lauderdale City (Central) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01108,FL-33100
fl,Broward County (SE)-Hollywood (N)+Dania Beach (S) Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01109,FL-33100
fl,Broward County (Central)-Davie Town+Cooper City PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01110,FL-33100
fl,Broward County-Weston/Pembroke Pines (NW) Cities+SW Ranches Town PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01111,FL-33100
fl,Broward County (S Central)-Miramar (W)+Pembroke Pines (SW) Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01112,FL-33100
fl,Broward County (SE)-Hollywood (S)+Pembroke Pines (E) Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01113,FL-33100
fl,Broward County (SE)-Miramar (E)/Hallandale Beach+W Park Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-01114,FL-33100
fl,,,FL-01200,FL-27260
fl,,,FL-01300,FL-27260
fl,,,FL-01400,FL-27260
fl,,,FL-01400,FL-19660
fl,,,FL-01400,FL-36100
fl,Charlotte County PUMA,Punta Gorda/FL,FL-01500,FL-39460
fl,,,FL-01501,FL-36100
fl,,,FL-01502,FL-23540
fl,,,FL-01502,FL-36100
fl,,,FL-01600,FL-26140
fl,,,FL-01600,FL-36740
fl,,,FL-01600,FL-45540
fl,,,FL-01700,FL-26140
fl,,,FL-01700,FL-45300
fl,Citrus County PUMA,Homosassa Springs/FL,FL-01701,FL-26140
fl,,,FL-01801,FL-36740
fl,,,FL-01801,FL-45540
fl,,,FL-01802,FL-36740
fl,,,FL-01802,FL-45540
fl,,,FL-01802,FL-36100
fl,Clay County PUMA,Jacksonville/FL,FL-01900,FL-27260
fl,,,FL-01901,FL-19660
fl,,,FL-01901,FL-27260
fl,,,FL-01902,FL-19660
fl,,,FL-01903,FL-19660
fl,,,FL-02001,FL-36740
fl,,,FL-02002,FL-36740
fl,,,FL-02003,FL-36740
fl,Collier County (NW) PUMA,Naples-Immokalee-Marco Island/FL,FL-02101,FL-34940
fl,Collier County (SW) PUMA,Naples-Immokalee-Marco Island/FL,FL-02102,FL-34940
fl,Collier County (E) PUMA,Naples-Immokalee-Marco Island/FL,FL-02103,FL-34940
fl,,,FL-02104,FL-37340
fl,,,FL-02201,FL-36740
fl,,,FL-02202,FL-36740
fl,,,FL-02203,FL-36740
fl,,,FL-02204,FL-36740
fl,,,FL-02205,FL-36740
fl,,,FL-02206,FL-36740
fl,,,FL-02207,FL-36740
fl,Columbia/Levy/Bradford/Gilchrist/Dixie+Union Counties PUMA,Gainesville/FL,FL-02300,FL-23540
fl,,,FL-02401,FL-45300
fl,,,FL-02401,FL-29460
fl,,,FL-02402,FL-29460
fl,,,FL-02403,FL-42700
fl,,,FL-02403,FL-29460
fl,,,FL-02404,FL-29460
fl,,,FL-02501,FL-45300
fl,,,FL-02502,FL-45300
fl,,,FL-02503,FL-45300
fl,,,FL-02601,FL-45300
fl,,,FL-02602,FL-45300
fl,,,FL-02603,FL-45300
fl,,,FL-02604,FL-45300
fl,,,FL-02605,FL-45300
fl,,,FL-02606,FL-45300
fl,,,FL-02607,FL-45300
fl,,,FL-02608,FL-45300
fl,SW Heartland-Highlands (NW)/DeSoto+Hardee Counties PUMA,Sebring/FL,FL-02700,FL-42700
fl,,,FL-02701,FL-45300
fl,,,FL-02702,FL-45300
fl,,,FL-02703,FL-45300
fl,,,FL-02704,FL-45300
fl,,,FL-02705,FL-45300
fl,,,FL-02706,FL-45300
fl,,,FL-02707,FL-45300
fl,,,FL-02708,FL-45300
fl,,,FL-02801,FL-35840
fl,,,FL-02802,FL-35840
fl,,,FL-02901,FL-35840
fl,,,FL-02902,FL-39460
fl,,,FL-02902,FL-35840
fl,,,FL-03000,FL-39460
fl,,,FL-03000,FL-42700
fl,,,FL-03000,FL-35840
fl,,,FL-03100,FL-42700
fl,Duval County (Outer)-Jacksonville City (N+W) PUMA,Jacksonville/FL,FL-03101,FL-27260
fl,Duval County (NW Central)-Jacksonville City (NW) PUMA,Jacksonville/FL,FL-03102,FL-27260
fl,Duval County (N Central)-Jacksonville City (Arlington) PUMA,Jacksonville/FL,FL-03103,FL-27260
fl,Duval County (E)-Jacksonville City (Beaches) PUMA,Jacksonville/FL,FL-03104,FL-27260
fl,Duval County (SE)-Jacksonville City (SE) PUMA,Jacksonville/FL,FL-03105,FL-27260
fl,Duval County (S Central)-Jacksonville City (SE River) PUMA,Jacksonville/FL,FL-03106,FL-27260
fl,Duval County (SW Central)-Jacksonville City (SW) PUMA,Jacksonville/FL,FL-03107,FL-27260
fl,,,FL-03200,FL-42680
fl,,,FL-03200,FL-42700
fl,,,FL-03200,FL-36740
fl,,,FL-03200,FL-38940
fl,,,FL-03300,FL-42680
fl,,,FL-03300,FL-38940
fl,Escambia County (N) PUMA,Pensacola-Ferry Pass-Brent/FL,FL-03301,FL-37860
fl,Escambia County (S) PUMA,Pensacola-Ferry Pass-Brent/FL,FL-03302,FL-37860
fl,,,FL-03400,FL-38940
fl,,,FL-03400,FL-33100
fl,Flagler+Volusia (N Central) Counties PUMA,Deltona-Daytona Beach-Ormond Beach/FL,FL-03500,FL-19660
fl,,,FL-03501,FL-38940
fl,,,FL-03501,FL-33100
fl,,,FL-03502,FL-33100
fl,,,FL-03503,FL-33100
fl,,,FL-03504,FL-33100
fl,,,FL-03505,FL-33100
fl,,,FL-03506,FL-33100
fl,,,FL-03507,FL-33100
fl,,,FL-03508,FL-33100
fl,,,FL-03509,FL-38940
fl,,,FL-03509,FL-33100
fl,,,FL-03601,FL-33100
fl,,,FL-03602,FL-33100
fl,,,FL-03603,FL-33100
fl,,,FL-03604,FL-33100
fl,,,FL-03605,FL-33100
fl,,,FL-03606,FL-33100
fl,,,FL-03607,FL-33100
fl,,,FL-03608,FL-33100
fl,,,FL-03609,FL-33100
fl,,,FL-03610,FL-33100
fl,,,FL-03611,FL-33100
fl,,,FL-03612,FL-33100
fl,,,FL-03613,FL-33100
fl,,,FL-03701,FL-34940
fl,,,FL-03702,FL-34940
fl,,,FL-03702,FL-33100
fl,,,FL-03702,FL-42700
fl,,,FL-03800,FL-15980
fl,,,FL-03901,FL-39460
fl,,,FL-03901,FL-15980
fl,,,FL-03902,FL-15980
fl,,,FL-03903,FL-15980
fl,,,FL-04001,FL-33100
fl,,,FL-04002,FL-33100
fl,,,FL-04003,FL-33100
fl,,,FL-04004,FL-33100
fl,,,FL-04005,FL-33100
fl,,,FL-04006,FL-33100
fl,,,FL-04007,FL-33100
fl,,,FL-04008,FL-33100
fl,,,FL-04009,FL-33100
fl,,,FL-04010,FL-33100
fl,,,FL-04011,FL-33100
fl,,,FL-04012,FL-33100
fl,,,FL-04013,FL-33100
fl,,,FL-04014,FL-33100
fl,,,FL-04015,FL-33100
fl,,,FL-04016,FL-33100
fl,,,FL-04017,FL-33100
fl,,,FL-04018,FL-33100
fl,,,FL-04019,FL-33100
fl,,,FL-04020,FL-33100
fl,Hernando County PUMA,Tampa-St Petersburg-Clearwater/FL,FL-05301,FL-45300
fl,Hillsborough County (Central)-Tampa City (Central) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-05701,FL-45300
fl,Hillsborough County (SW)-Tampa City (S) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-05702,FL-45300
fl,Hillsborough County (NW) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-05703,FL-45300
fl,Hillsborough County (N Central) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-05704,FL-45300
fl,Hillsborough County (N Central)-Tampa City (N) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-05705,FL-45300
fl,Hillsborough County (NE) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-05706,FL-45300
fl,Hillsborough County (Central) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-05707,FL-45300
fl,Hillsborough County (S County) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-05708,FL-45300
fl,Indian River County PUMA,Sebastian-Vero Beach/FL,FL-06100,FL-42680
fl,Apalachee Region (Outside Leon County) PUMA,Panama City/FL,FL-06300,FL-37460
fl,Apalachee Region (Outside Leon County) PUMA,Tallahassee/FL,FL-06300,FL-45220
fl,Lake County (N) PUMA,Orlando-Kissimmee-Sanford/FL,FL-06901,FL-36740
fl,Sumter (N)+Lake (N) Counties PUMA,Orlando-Kissimmee-Sanford/FL,FL-06902,FL-36740
fl,Sumter (N)+Lake (N) Counties PUMA,The Villages/FL,FL-06902,FL-45540
fl,Lake (S)+Sumter (S) Counties PUMA,Orlando-Kissimmee-Sanford/FL,FL-06903,FL-36740
fl,Lake (S)+Sumter (S) Counties PUMA,The Villages/FL,FL-06903,FL-45540
fl,Lee County (S+W)-Barrier Islands Region PUMA,Cape Coral-Fort Myers/FL,FL-07101,FL-15980
fl,Lee County (NW)-Cape Coral City PUMA,Cape Coral-Fort Myers/FL,FL-07102,FL-15980
fl,Lee County (NE)-Lehigh Acres+N Fort Myers PUMA,Cape Coral-Fort Myers/FL,FL-07103,FL-15980
fl,Lee County (Central)-Greater Fort Myers City PUMA,Cape Coral-Fort Myers/FL,FL-07104,FL-15980
fl,Lee County (SE)-Bonita Springs City+Estero (E) PUMA,Cape Coral-Fort Myers/FL,FL-07105,FL-15980
fl,Leon County (Outer) PUMA,Tallahassee/FL,FL-07300,FL-45220
fl,Leon County (Central)-Tallahassee City (Central) PUMA,Tallahassee/FL,FL-07301,FL-45220
fl,Manatee County (N) PUMA,N Port-Sarasota-Bradenton/FL,FL-08101,FL-35840
fl,Manatee County (W Central) PUMA,N Port-Sarasota-Bradenton/FL,FL-08102,FL-35840
fl,Manatee County (S) PUMA,N Port-Sarasota-Bradenton/FL,FL-08103,FL-35840
fl,Marion County (N) PUMA,Ocala/FL,FL-08301,FL-36100
fl,Marion County (Central)-Ocala City PUMA,Ocala/FL,FL-08302,FL-36100
fl,Marion County (S Central) PUMA,Ocala/FL,FL-08303,FL-36100
fl,Martin County PUMA,Port St Lucie/FL,FL-08500,FL-38940
fl,Miami-Dade County (N Central)-Greater Miami Lakes Town PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08601,FL-33100
fl,Miami-Dade County (N Central)-Miami Gardens City (N+W) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08602,FL-33100
fl,Miami-Dade County (NE)-Greater N Miami Beach City (W) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08603,FL-33100
fl,Miami-Dade County (NE)-Aventura City+Surfside Town PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08604,FL-33100
fl,Miami-Dade County-N Miami City (SW)+Golden Glades (W) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08605,FL-33100
fl,Miami-Dade County (NE)-Opa-Locka City/W Little River+Westview PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08606,FL-33100
fl,Miami-Dade County (NE)-Hialeah City (N Central) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08607,FL-33100
fl,Miami-Dade County (N Central)-Doral/Sweetwater Cities+Fontainebleau PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08608,FL-33100
fl,Miami-Dade County (NE)-Hialeah City (S Central) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08609,FL-33100
fl,Miami-Dade County (Central)-Miami Springs City+Miami International Airport PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08610,FL-33100
fl,Miami-Dade County (NE Central)-Miami City (N) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08611,FL-33100
fl,Miami-Dade County (NE)-Miami Beach City+Miami Shores Village PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08612,FL-33100
fl,Miami-Dade County (NE Central)-Miami City (Downtown) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08613,FL-33100
fl,Miami-Dade County (E)-Miami City (E)+Key Biscayne Village PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08614,FL-33100
fl,Miami-Dade County (E Central)-Miami City (W) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08615,FL-33100
fl,Miami-Dade County (E)-Coral Gables City/Pinecrest Village+Kendall (S) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08616,FL-33100
fl,Miami-Dade County (E Central)-S Miami City/Westchester+Coral Terrace PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08617,FL-33100
fl,Miami-Dade County (N Central)-Tamiami Trail Region (S)-Tamiami PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08618,FL-33100
fl,Miami-Dade County (Central)-Kendale Lakes (SW)+Kendall W (S) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08619,FL-33100
fl,Miami-Dade County (E Central)-Kendall (N)/Sunset+Westwood Lakes PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08620,FL-33100
fl,Miami-Dade County (Central)-The Hammocks (W)/Richmond W (W)+Country Walk PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08621,FL-33100
fl,Miami-Dade County (SW)-S Miami Heights PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08622,FL-33100
fl,Miami-Dade County (SE)-Cutler Bay Town+Palmetto Bay Village PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08623,FL-33100
fl,Miami-Dade County (S)-Homestead City (N)+Florida City (N) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08624,FL-33100
fl,Miami-Dade (South/Outside Urban Development Boundary)+Monroe Counties PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-08700,FL-33100
fl,Nassau+Baker Counties PUMA,Jacksonville/FL,FL-08900,FL-27260
fl,Okaloosa County PUMA,Crestview-Fort Walton Beach-Destin/FL,FL-09100,FL-18880
fl,SE Heartland-Highlands (S+E)/Okeechobee/Hendry+Glades Counties PUMA,Sebring/FL,FL-09300,FL-42700
fl,Orange County (NW) PUMA,Orlando-Kissimmee-Sanford/FL,FL-09501,FL-36740
fl,Orange County (W Central)-Winter Garden/Ocoee Cities+Oakland Town PUMA,Orlando-Kissimmee-Sanford/FL,FL-09502,FL-36740
fl,Orange County (SW)-Disney-International Drive Region PUMA,Orlando-Kissimmee-Sanford/FL,FL-09503,FL-36740
fl,Orange County (S Central)-Orlando City (S Central)/Conway+Pine Castle PUMA,Orlando-Kissimmee-Sanford/FL,FL-09504,FL-36740
fl,Orange County (Central)-Orlando City (E Downtown)+Azalea Park PUMA,Orlando-Kissimmee-Sanford/FL,FL-09505,FL-36740
fl,Orange County (Central)-Orlando City (W Downtown)+Pine Hills (SE) PUMA,Orlando-Kissimmee-Sanford/FL,FL-09506,FL-36740
fl,Orange County (N Central)-Orlando (N)/Winter Park+Maitland Cities PUMA,Orlando-Kissimmee-Sanford/FL,FL-09507,FL-36740
fl,Orange County (N Central)-Orlando City (Univ of Central Florida)+Union Park PUMA,Orlando-Kissimmee-Sanford/FL,FL-09508,FL-36740
fl,Orange County (SE) PUMA,Orlando-Kissimmee-Sanford/FL,FL-09509,FL-36740
fl,Orange County (NE) PUMA,Orlando-Kissimmee-Sanford/FL,FL-09510,FL-36740
fl,Osceola County (W) PUMA,Orlando-Kissimmee-Sanford/FL,FL-09701,FL-36740
fl,Osceola County (E) PUMA,Orlando-Kissimmee-Sanford/FL,FL-09702,FL-36740
fl,Palm Beach County (NE) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09901,FL-33100
fl,Palm Beach County (NE)-Palm Beach Gardens+Riviera Beach Cities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09902,FL-33100
fl,Palm Beach County (E)-W Palm Beach City (SE)+Palm Beach Town PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09903,FL-33100
fl,Palm Beach County (E)-Greenacres City (N)+Palm Springs Village (N) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09904,FL-33100
fl,Palm Beach County (E Central)-Lake Worth City/Lantana Town+Atlantis City PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09905,FL-33100
fl,Palm Beach County (E Central)-Greater Boynton Beach City (N) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09906,FL-33100
fl,Palm Beach County (SE)-Greater Delray Beach City PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09907,FL-33100
fl,Palm Beach County (SE)-Boca Raton City+Highland Beach Town PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09908,FL-33100
fl,Palm Beach County (W of Boca Raton City) PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09909,FL-33100
fl,Palm Beach County (Central)-Wellington Village+Agricultural Reserve PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09910,FL-33100
fl,Palm Beach County (W)-Glades+Western Communities PUMA,Miami-Fort Lauderdale-W Palm Beach/FL,FL-09911,FL-33100
fl,Pasco County (E Central) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10101,FL-45300
fl,Pasco County (W Central) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10102,FL-45300
fl,Pasco County (Gulf Coast) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10103,FL-45300
fl,Pasco County (S) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10104,FL-45300
fl,Pinellas County (N) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10301,FL-45300
fl,Pinellas County (N Central) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10302,FL-45300
fl,Pinellas County (Central)-Clearwater City (S+Central) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10303,FL-45300
fl,Pinellas County (Central)-Greater Largo City PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10304,FL-45300
fl,Pinellas County (W Central)-Greater Seminole City PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10305,FL-45300
fl,Pinellas County (Central)-Greater Pinellas Park City PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10306,FL-45300
fl,Pinellas County (SE)-St Petersburg City (E) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10307,FL-45300
fl,Pinellas County (S Central)-St Petersburg City (W) PUMA,Tampa-St Petersburg-Clearwater/FL,FL-10308,FL-45300
fl,Polk County (NW) PUMA,Lakeland-Winter Haven/FL,FL-10501,FL-29460
fl,Polk County (NE) PUMA,Lakeland-Winter Haven/FL,FL-10502,FL-29460
fl,Polk County (Central) PUMA,Lakeland-Winter Haven/FL,FL-10503,FL-29460
fl,Polk County (S) PUMA,Lakeland-Winter Haven/FL,FL-10504,FL-29460
fl,Putnam+St Johns (S) Counties PUMA,Jacksonville/FL,FL-10700,FL-27260
fl,St Johns County (N) PUMA,Jacksonville/FL,FL-10900,FL-27260
fl,St Lucie County (N) PUMA,Port St Lucie/FL,FL-11101,FL-38940
fl,St Lucie County (S) PUMA,Port St Lucie/FL,FL-11102,FL-38940
fl,Santa Rosa County PUMA,Pensacola-Ferry Pass-Brent/FL,FL-11300,FL-37860
fl,Sarasota County (N) PUMA,N Port-Sarasota-Bradenton/FL,FL-11501,FL-35840
fl,Sarasota County (Central+Gulf Coast) PUMA,N Port-Sarasota-Bradenton/FL,FL-11502,FL-35840
fl,Sarasota County (E) PUMA,N Port-Sarasota-Bradenton/FL,FL-11503,FL-35840
fl,Seminole County (W) PUMA,Orlando-Kissimmee-Sanford/FL,FL-11701,FL-36740
fl,Seminole County (N Central) PUMA,Orlando-Kissimmee-Sanford/FL,FL-11702,FL-36740
fl,Seminole County (S Central) PUMA,Orlando-Kissimmee-Sanford/FL,FL-11703,FL-36740
fl,Seminole County (E) PUMA,Orlando-Kissimmee-Sanford/FL,FL-11704,FL-36740
fl,,,FL-12100,FL-29380
fl,Volusia County (Central+NW)-DeLand/DeBary Cities+Pierson Town PUMA,Deltona-Daytona Beach-Ormond Beach/FL,FL-12701,FL-19660
fl,Volusia County (NE)-Daytona Beach/Ormond Beach+Holly Hill Cities PUMA,Deltona-Daytona Beach-Ormond Beach/FL,FL-12702,FL-19660
fl,Volusia County-Port Orange/Edgewater/New Smyrna Beach (E)+Oak Hill Cities PUMA,Deltona-Daytona Beach-Ormond Beach/FL,FL-12703,FL-19660
fl,Volusia County (SW Central)-Deltona+Lake Helen Cities PUMA,Deltona-Daytona Beach-Ormond Beach/FL,FL-12704,FL-19660
ga,Coastal Regional Commission (S)-Glynn Camden+McIntosh Counties PUMA,Brunswick/GA,GA-00100,GA-15260
ga,Coastal Regional Commission (W)-Liberty/Bryan+Long Counties PUMA,Hinesville/GA,GA-00200,GA-25980
ga,Coastal Regional Commission (W)-Liberty/Bryan+Long Counties PUMA,Savannah/GA,GA-00200,GA-42340
ga,Coastal Regional Commission (N)-Bulloch/Effingham+Screven Counties PUMA,Savannah/GA,GA-00300,GA-42340
ga,,,GA-00400,GA-23580
ga,,,GA-00400,GA-12020
ga,,,GA-00400,GA-12060
ga,Coastal Regional Commission (E)-Chatham County (W Central)-Savannah City PUMA,Savannah/GA,GA-00401,GA-42340
ga,Coastal Regional Commission (E)-Chatham County (E+Outside Savannah City) PUMA,Savannah/GA,GA-00402,GA-42340
ga,Southern Georgia Regional Commission (E+Central) PUMA,Brunswick/GA,GA-00500,GA-15260
ga,Southern Georgia Regional Commission (E+Central) PUMA,Valdosta/GA,GA-00500,GA-46660
ga,Southern Georgia Regional Commission (S Central)-Lowndes County-Valdosta City PUMA,Valdosta/GA,GA-00600,GA-46660
ga,Southern Georgia Regional Commission (W) PUMA,Valdosta/GA,GA-00700,GA-46660
ga,SW Georgia Regional Commission (E)-Colquitt/Thomas+Worth Counties PUMA,Albany/GA,GA-00800,GA-10500
ga,SW Georgia Regional Commission (N Central)-Dougherty+Lee Counties PUMA,Albany/GA,GA-00900,GA-10500
ga,,,GA-01000,GA-31420
ga,,,GA-01000,GA-47580
ga,,,GA-01000,GA-12060
ga,Atlanta Regional Commission (Central)-Fulton County (N)-Sandy Springs City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-01001,GA-12060
ga,Atlanta Regional Commission (Central)-Fulton County (NE)-Johns Creek City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-01002,GA-12060
ga,Atlanta Regional Commission (Central)-Fulton County (Central)-Atlanta City (S) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-01003,GA-12060
ga,Atlanta Regional Commission (Central)-Fulton County (S)-Union+Fairburn Cities PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-01004,GA-12060
ga,Atlanta Regional Commission (Central)-Fulton County (NW)-Roswell City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-01005,GA-12060
ga,Atlanta Regional Commission (Central)-Fulton County (Central)-Atlanta City (N) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-01006,GA-12060
ga,Atlanta Regional Commission (Central)-Fulton County (E)-Atlanta City (SE) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-01007,GA-12060
ga,Atlanta Regional Commission (Central)-DeKalb County (S) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-01008,GA-12060
ga,SW Georgia Regional Commission (W+Central) PUMA,Albany/GA,GA-01100,GA-10500
ga,,,GA-01101,GA-12060
ga,,,GA-01102,GA-12060
ga,,,GA-01103,GA-12060
ga,,,GA-01104,GA-12060
ga,,,GA-01105,GA-12060
ga,,,GA-01106,GA-12060
ga,,,GA-01107,GA-12060
ga,,,GA-01200,GA-12060
ga,,,GA-01200,GA-12020
ga,,,GA-01201,GA-12060
ga,,,GA-01202,GA-12060
ga,,,GA-01203,GA-12060
ga,,,GA-01204,GA-12060
ga,,,GA-01205,GA-12060
ga,,,GA-01206,GA-12060
ga,,,GA-01300,GA-12060
ga,,,GA-01300,GA-40660
ga,,,GA-01300,GA-16860
ga,,,GA-01301,GA-12060
ga,,,GA-01302,GA-12060
ga,,,GA-01303,GA-12060
ga,,,GA-01304,GA-12060
ga,,,GA-01305,GA-12060
ga,Middle Georgia Regional Commission (Central)-Bibb County-Macon City PUMA,Macon/GA,GA-01400,GA-31420
ga,,,GA-01401,GA-12060
ga,,,GA-01402,GA-12060
ga,Middle Georgia Regional Commission (S)-Houston+Pulaski Counties PUMA,Warner Robins/GA,GA-01500,GA-47580
ga,,,GA-01501,GA-12060
ga,,,GA-01502,GA-12060
ga,,,GA-01503,GA-12060
ga,,,GA-01504,GA-12060
ga,,,GA-01505,GA-12060
ga,Middle Georgia Regional Commission (N+Outside Bibb County) PUMA,Macon/GA,GA-01600,GA-31420
ga,Middle Georgia Regional Commission (N+Outside Bibb County) PUMA,Warner Robins/GA,GA-01600,GA-47580
ga,River Valley Regional Commission (W Central)-Muscogee+Chattahoochee Counties PUMA,Columbus/GA-AL,GA-01700,GA-17980
ga,River Valley Regional Commission (Outside Muscogee+Chattahoochee Counties) PUMA,Columbus/GA-AL,GA-01800,GA-17980
ga,Three Rivers Regional Commission (E) PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-01900,GA-12060
ga,,,GA-02000,GA-12060
ga,Atlanta Regional Commission (Central)-DeKalb County (E Central)-Redan PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02001,GA-12060
ga,Atlanta Regional Commission-DeKalb County-Decatur+Avondale Estates Cities PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02002,GA-12060
ga,Atlanta Regional Commission (Central)-DeKalb County (NE)-Tucker PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02003,GA-12060
ga,Atlanta Regional Commission-DeKalb County (N)-Dunwoody City PUMA,Atlanta-Sandy Springs-Roswell/GA,GA-02004,GA-12060
